時間,年齡,性別,職業,年收入,請問您是否有聽說過潮流玩具?,選擇潮牌玩具注重因素,接觸潮玩主要來源,購買潮玩產品預算,購買潮玩主要原因,是否有意願 購買 / 重複購買,是否有購買過潮流玩具,品牌,POPMART,Disney,Pok'emon,是否購買分類
6/27/2025 23:08:09,30~39(歲),女,其他(Other),50萬~80萬,是,"設計風格, 品牌知名度, 限量稀有性, 價格","社群媒體（如IG、抖音、小紅書）, 網路平台（如蝦皮、Pinkoi、潮玩網站）, 朋友或同好介紹",1000–3000元,"裝飾擺設, 支持喜歡的設計師/IP",是,是,Disney,,"Micky & Friends, Marvel",皮卡丘,有購買
6/27/2025 23:11:08,30~39(歲),女,諮詢/科技,50萬~80萬,是,設計風格,社群媒體（如IG、抖音、小紅書）,500–1000元,裝飾擺設,是,是,"POPMart, Disney, Pok'emon",The Monsters,Marvel,"超夢, 小火龍",有購買
6/27/2025 23:11:29,50(歲)以上,女,軍公教,80萬~120萬,否,品牌知名度,網路平台（如蝦皮、Pinkoi、潮玩網站）,500–1000元,社群流行趨勢,否,否,,,,,未購買
6/27/2025 23:11:45,30~39(歲),女,藝文業(傳播/廣告/設計),50萬~80萬,是,"設計風格, 價格","社群媒體（如IG、抖音、小紅書）, 朋友或同好介紹",500–1000元,"收藏, 裝飾擺設, 支持喜歡的設計師/IP",否,是,"POPMart, Disney",其他(Others),其他(Others),皮卡丘,有購買
6/28/2025 0:40:09,30~39(歲),女,自由業,50萬~80萬,是,設計風格,"網路平台（如蝦皮、Pinkoi、潮玩網站）, 朋友或同好介紹",500–1000元,送禮,否,否,,,,,未購買
6/28/2025 9:05:35,30~39(歲),男,製造業,80萬~120萬,是,"設計風格, 限量稀有性, 價格","社群媒體（如IG、抖音、小紅書）, 實體店面（如潮玩專門店、選物店）, 網路平台（如蝦皮、Pinkoi、潮玩網站）, 朋友或同好介紹",500–1000元,"收藏, 裝飾擺設",是,是,"POPMart, Disney, Pok'emon",The Monsters,Marvel,"皮卡丘, 超夢, 小火龍, 傑尼龜",有購買
6/28/2025 9:38:55,30~39(歲),女,其他(Other),0~50萬,是,"設計風格, 價格","社群媒體（如IG、抖音、小紅書）, 網路平台（如蝦皮、Pinkoi、潮玩網站）, 朋友或同好介紹",500–1000元,"收藏, 裝飾擺設",是,是,Disney,,其他(Others),,有購買
6/28/2025 9:45:34,30~39(歲),男,製造業,120萬以上,否,"設計風格, 品牌知名度, 限量稀有性, 潛在增值空間",社群媒體（如IG、抖音、小紅書）,超過3000元,"支持喜歡的設計師/IP, 社群流行趨勢",是,否,,,,,未購買
6/28/2025 13:43:30,30~39(歲),男,資訊/科技,120萬以上,是,"設計風格, 限量稀有性","社群媒體（如IG、抖音、小紅書）, 朋友或同好介紹",超過3000元,收藏,否,否,,,,,未購買
6/28/2025 14:05:08,40~49(歲),男,其他(Other),120萬以上,否,"設計風格, 品牌知名度, 價格","社群媒體（如IG、抖音、小紅書）, 實體店面（如潮玩專門店、選物店）, 網路平台（如蝦皮、Pinkoi、潮玩網站）",500–1000元,"收藏, 裝飾擺設",是,是,"Disney, Pok'emon",其他(Others),"Micky & Friends, Marvel",皮卡丘,有購買
6/28/2025 14:40:21,30~39(歲),男,服務業,120萬以上,是,"設計風格, 價格, 潛在增值空間","社群媒體（如IG、抖音、小紅書）, 實體店面（如潮玩專門店、選物店）, 傳統媒體(新聞報導、報章雜誌)",1000–3000元,"收藏, 裝飾擺設",是,是,"POPMart, Pok'emon",Molly,Marvel,"皮卡丘, 小火龍",有購買
6/28/2025 17:27:20,18~29(歲),男,自由業,0~50萬,是,"品牌知名度, 價格","社群媒體（如IG、抖音、小紅書）, 網路平台（如蝦皮、Pinkoi、潮玩網站）",500元以下,"收藏, 支持喜歡的設計師/IP",是,否,,,,,未購買
6/28/2025 18:38:50,40~49(歲),男,自由業,50萬~80萬,是,"品牌知名度, 限量稀有性, 潛在增值空間","實體店面（如潮玩專門店、選物店）, 網路平台（如蝦皮、Pinkoi、潮玩網站）",1000–3000元,"收藏, 轉賣潛力/二手",是,是,Pok'emon,其他(Others),其他(Others),"皮卡丘, 超夢, 小火龍, 傑尼龜",有購買
6/28/2025 20:43:57,18~29(歲),女,資訊/科技,50萬~80萬,是,設計風格,"社群媒體（如IG、抖音、小紅書）, 網路平台（如蝦皮、Pinkoi、潮玩網站）, 朋友或同好介紹",1000–3000元,"收藏, 裝飾擺設",是,是,Disney,,其他(Others),,有購買
6/28/2025 20:45:48,18~29(歲),男,其他(Other),80萬~120萬,是,設計風格,實體店面（如潮玩專門店、選物店）,超過3000元,"收藏, 裝飾擺設, 支持喜歡的設計師/IP",是,否,,,,,未購買
6/28/2025 20:46:22,50(歲)以上,女,其他(Other),0~50萬,否,"設計風格, 品牌知名度, 限量稀有性, 價格, 潛在增值空間",朋友或同好介紹,500元以下,送禮,是,否,,,,,未購買
6/28/2025 20:47:02,50(歲)以上,女,學生,0~50萬,是,品牌知名度,"社群媒體（如IG、抖音、小紅書）, 實體店面（如潮玩專門店、選物店）, 朋友或同好介紹",500元以下,"收藏, 轉賣潛力/二手",是,是,Disney,其他(Others),Micky & Friends,皮卡丘,有購買
6/28/2025 20:48:13,50(歲)以上,男,其他(Other),50萬~80萬,否,"設計風格, 潛在增值空間",社群媒體（如IG、抖音、小紅書）,1000–3000元,"轉賣潛力/二手, 社群流行趨勢",是,是,Disney,,Micky & Friends,"皮卡丘, 超夢, 小火龍, 傑尼龜",有購買
6/28/2025 20:56:14,18~29(歲),女,服務業,50萬~80萬,是,"設計風格, 價格","實體店面（如潮玩專門店、選物店）, 朋友或同好介紹",500元以下,"裝飾擺設, 社群流行趨勢",否,是,POPMart,Molly,Marvel,其他(Others),有購買
6/28/2025 20:56:14,30~39(歲),男,其他(Other),50萬~80萬,是,"設計風格, 價格","網路平台（如蝦皮、Pinkoi、潮玩網站）, 朋友或同好介紹",500元以下,"收藏, 支持喜歡的設計師/IP",否,是,Pok'emon,,,其他(Others),有購買
6/28/2025 20:56:23,18~29(歲),女,學生,0~50萬,是,"設計風格, 價格","社群媒體（如IG、抖音、小紅書）, 朋友或同好介紹, 快閃活動",500元以下,"收藏, 轉賣潛力/二手, 裝飾擺設, 支持喜歡的設計師/IP, 社群流行趨勢, 送禮",是,是,POPMart,Dimoo,,,有購買
6/28/2025 22:08:55,18~29(歲),女,製造業,0~50萬,否,"設計風格, 價格, 潛在增值空間","社群媒體（如IG、抖音、小紅書）, 朋友或同好介紹",500–1000元,"收藏, 轉賣潛力/二手",是,否,,,,,未購買
6/28/2025 22:39:48,30~39(歲),女,其他(Other),0~50萬,是,"設計風格, 價格","社群媒體（如IG、抖音、小紅書）, 朋友或同好介紹",500元以下,"收藏, 裝飾擺設",否,是,"POPMart, Disney",其他(Others),其他(Others),,有購買
6/28/2025 22:58:21,30~39(歲),女,藝文業(傳播/廣告/設計),50萬~80萬,否,"品牌知名度, 潛在增值空間","朋友或同好介紹, 傳統媒體(新聞報導、報章雜誌)",500元以下,收藏,否,否,,,,,未購買
6/28/2025 23:06:02,50(歲)以上,女,醫療業,0~50萬,是,"設計風格, 潛在增值空間","社群媒體（如IG、抖音、小紅書）, 網路平台（如蝦皮、Pinkoi、潮玩網站）",500–1000元,"收藏, 支持喜歡的設計師/IP",是,是,Disney,"Molly, Pucky","Micky & Friends, 其他(Others)",皮卡丘,有購買
6/28/2025 23:25:17,40~49(歲),女,製造業,0~50萬,否,"設計風格, 價格, 潛在增值空間","社群媒體（如IG、抖音、小紅書）, 朋友或同好介紹, 快閃活動",500元以下,"收藏, 裝飾擺設, 送禮",是,是,POPMart,其他(Others),其他(Others),皮卡丘,有購買
6/29/2025 0:28:41,30~39(歲),女,其他(Other),80萬~120萬,是,設計風格,"社群媒體（如IG、抖音、小紅書）, 朋友或同好介紹",500–1000元,裝飾擺設,是,是,POPMart,Skullpanda,其他(Others),其他(Others),有購買
6/29/2025 8:56:14,40~49(歲),女,醫療業,50萬~80萬,否,"設計風格, 品牌知名度, 限量稀有性, 價格, 潛在增值空間","社群媒體（如IG、抖音、小紅書）, 網路平台（如蝦皮、Pinkoi、潮玩網站）, 朋友或同好介紹, 傳統媒體(新聞報導、報章雜誌)",500–1000元,"收藏, 裝飾擺設, 送禮",是,否,,,,,未購買
6/29/2025 19:04:09,0~10(歲),男,學生,0~50萬,是,"設計風格, 價格",朋友或同好介紹,500元以下,裝飾擺設,是,是,"POPMart, Disney, Pok'emon","The Monsters, 其他(Others)","Marvel, 其他(Others)","皮卡丘, 超夢, 夢幻, 里卡路歐, 小火龍, 傑尼龜, 其他(Others)",有購買
6/30/2025 9:20:30,30~39(歲),女,學生,0~50萬,是,"設計風格, 限量稀有性, 潛在增值空間",社群媒體（如IG、抖音、小紅書）,1000–3000元,"收藏, 支持喜歡的設計師/IP",是,是,"Disney, Pok'emon",,其他(Others),皮卡丘,有購買
6/30/2025 9:24:00,30~39(歲),女,製造業,50萬~80萬,是,設計風格,"社群媒體（如IG、抖音、小紅書）, 實體店面（如潮玩專門店、選物店）",500元以下,裝飾擺設,是,是,Disney,,其他(Others),,有購買
6/30/2025 10:42:59,40~49(歲),男,自由業,0~50萬,是,限量稀有性,"社群媒體（如IG、抖音、小紅書）, 快閃活動",500元以下,送禮,否,否,,,,,未購買
6/30/2025 10:43:06,18~29(歲),男,學生,0~50萬,否,"設計風格, 價格","社群媒體（如IG、抖音、小紅書）, 網路平台（如蝦皮、Pinkoi、潮玩網站）",500元以下,收藏,是,否,,,,,未購買
6/30/2025 10:43:15,30~39(歲),男,其他(Other),0~50萬,是,設計風格,朋友或同好介紹,500–1000元,"裝飾擺設, 支持喜歡的設計師/IP",否,否,,,,,未購買
6/30/2025 10:43:24,30~39(歲),女,藝文業(傳播/廣告/設計),0~50萬,是,價格,實體店面（如潮玩專門店、選物店）,500元以下,裝飾擺設,是,是,"POPMart, Disney, Pok'emon",Molly,"Micky & Friends, Star Wars",皮卡丘,有購買
6/30/2025 10:43:32,30~39(歲),男,自由業,80萬~120萬,否,"限量稀有性, 價格, 潛在增值空間",朋友或同好介紹,500元以下,"收藏, 轉賣潛力/二手",否,否,,,,,未購買
6/30/2025 10:43:42,30~39(歲),男,學生,0~50萬,否,限量稀有性,社群媒體（如IG、抖音、小紅書）,500元以下,收藏,否,否,,,,,未購買
6/30/2025 10:43:47,18~29(歲),女,其他(Other),0~50萬,是,"設計風格, 品牌知名度","實體店面（如潮玩專門店、選物店）, 網路平台（如蝦皮、Pinkoi、潮玩網站）",500–1000元,"收藏, 裝飾擺設",是,是,Pok'emon,,,"皮卡丘, 夢幻, 傑尼龜, 其他(Others)",有購買
6/30/2025 10:43:52,30~39(歲),男,其他(Other),0~50萬,否,價格,網路平台（如蝦皮、Pinkoi、潮玩網站）,500元以下,收藏,否,否,,,,,未購買
6/30/2025 10:44:14,30~39(歲),女,其他(Other),0~50萬,否,設計風格,社群媒體（如IG、抖音、小紅書）,500元以下,送禮,否,否,,,,,未購買
6/30/2025 10:44:26,18~29(歲),男,學生,80萬~120萬,是,"設計風格, 限量稀有性, 價格",社群媒體（如IG、抖音、小紅書）,500–1000元,"收藏, 裝飾擺設",否,否,,,,,未購買
6/30/2025 10:44:44,40~49(歲),女,其他(Other),0~50萬,是,"設計風格, 品牌知名度, 限量稀有性, 價格, 潛在增值空間","社群媒體（如IG、抖音、小紅書）, 朋友或同好介紹",1000–3000元,"收藏, 裝飾擺設, 支持喜歡的設計師/IP",是,是,Pok'emon,其他(Others),其他(Others),"皮卡丘, 小火龍",有購買
6/30/2025 10:44:53,40~49(歲),男,其他(Other),80萬~120萬,是,"設計風格, 品牌知名度",網路平台（如蝦皮、Pinkoi、潮玩網站）,500–1000元,"裝飾擺設, 支持喜歡的設計師/IP",是,是,Disney,其他(Others),"Micky & Friends, Frozen","皮卡丘, 其他(Others)",有購買
6/30/2025 10:44:57,30~39(歲),女,服務業,0~50萬,否,"品牌知名度, 限量稀有性, 價格, 潛在增值空間","社群媒體（如IG、抖音、小紅書）, 朋友或同好介紹",500元以下,"收藏, 轉賣潛力/二手, 送禮",否,是,"POPMart, Disney, Pok'emon, CAPCOM",Molly,其他(Others),"皮卡丘, 其他(Others)",有購買
6/30/2025 10:46:06,30~39(歲),男,自由業,50萬~80萬,是,"設計風格, 價格","實體店面（如潮玩專門店、選物店）, 網路平台（如蝦皮、Pinkoi、潮玩網站）, 朋友或同好介紹",500元以下,"收藏, 裝飾擺設, 送禮",否,是,Pok'emon,,,"皮卡丘, 小火龍",有購買
6/30/2025 10:50:04,18~29(歲),男,其他(Other),0~50萬,否,"設計風格, 價格",網路平台（如蝦皮、Pinkoi、潮玩網站）,500元以下,收藏,否,否,,,,,未購買
6/30/2025 10:54:43,30~39(歲),男,資訊/科技,50萬~80萬,否,"設計風格, 品牌知名度, 限量稀有性, 價格",實體店面（如潮玩專門店、選物店）,500元以下,"收藏, 裝飾擺設",否,否,,,,,未購買
7/4/2025 15:01:11,40~49(歲),女,學生,0~50萬,是,價格,傳統媒體(新聞報導、報章雜誌),500元以下,送禮,否,否,,,,,未購買
7/4/2025 15:04:16,50(歲)以上,女,其他(Other),0~50萬,是,設計風格,社群媒體（如IG、抖音、小紅書）,500元以下,送禮,否,否,,,,,未購買
7/4/2025 15:06:48,50(歲)以上,男,其他(Other),80萬~120萬,是,設計風格,"社群媒體（如IG、抖音、小紅書）, 傳統媒體(新聞報導、報章雜誌)",500元以下,送禮,否,否,,,,,未購買
7/7/2025 23:01:23,40~49(歲),男,製造業,0~50萬,否,設計風格,社群媒體（如IG、抖音、小紅書）,1000–3000元,收藏,否,否,,,,,未購買
7/7/2025 23:01:26,18~29(歲),男,其他(Other),50萬~80萬,否,"品牌知名度, 價格",社群媒體（如IG、抖音、小紅書）,1000–3000元,收藏,是,否,,,,,未購買
7/7/2025 23:08:30,30~39(歲),男,服務業,50萬~80萬,是,"設計風格, 品牌知名度, 價格, 潛在增值空間","社群媒體（如IG、抖音、小紅書）, 實體店面（如潮玩專門店、選物店）, 網路平台（如蝦皮、Pinkoi、潮玩網站）",超過3000元,"收藏, 支持喜歡的設計師/IP, 社群流行趨勢, 送禮",否,是,"Disney, CAPCOM",,Micky & Friends,"超夢, 里卡路歐, 小火龍",有購買
7/7/2025 23:17:49,40~49(歲),男,其他(Other),0~50萬,否,價格,"朋友或同好介紹, 傳統媒體(新聞報導、報章雜誌)",500元以下,裝飾擺設,否,否,,,,,未購買
7/7/2025 23:24:23,30~39(歲),女,服務業,50萬~80萬,否,"設計風格, 品牌知名度","社群媒體（如IG、抖音、小紅書）, 實體店面（如潮玩專門店、選物店）, 網路平台（如蝦皮、Pinkoi、潮玩網站）",500元以下,支持喜歡的設計師/IP,否,否,,,,,未購買
7/7/2025 23:25:57,50(歲)以上,女,其他(Other),0~50萬,否,價格,傳統媒體(新聞報導、報章雜誌),500元以下,"收藏, 送禮",否,是,Disney,,其他(Others),皮卡丘,有購買
7/7/2025 23:28:08,18~29(歲),男,資訊/科技,50萬~80萬,否,"設計風格, 品牌知名度, 價格",朋友或同好介紹,500–1000元,"收藏, 裝飾擺設, 支持喜歡的設計師/IP",是,否,,,,,未購買
7/8/2025 0:27:51,30~39(歲),男,服務業,50萬~80萬,是,"品牌知名度, 限量稀有性","社群媒體（如IG、抖音、小紅書）, 實體店面（如潮玩專門店、選物店）, 網路平台（如蝦皮、Pinkoi、潮玩網站）, 朋友或同好介紹",500–1000元,"收藏, 社群流行趨勢",是,否,,,,,未購買
7/8/2025 15:25:39,30~39(歲),女,服務業,0~50萬,是,設計風格,"社群媒體（如IG、抖音、小紅書）, 傳統媒體(新聞報導、報章雜誌)",500元以下,收藏,否,否,,,,,未購買
7/8/2025 15:26:49,18~29(歲),女,學生,0~50萬,否,設計風格,朋友或同好介紹,500元以下,送禮,否,否,,,,,未購買
